TEAM,abbr
Atlanta Dream,ATL
Chicago Sky,CHI
Connecticut Sun,CON
Dallas Wings,DAL
Indiana Fever,IND
Las Vegas Aces,LVA
Los Angeles Sparks,LAS
Minnesota Lynx,MIN
New York Liberty,NYL
Phoenix Mercury,PHO
Seattle Storm,SEA
Washington Mystics,WAS
